Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,Duck,Country
WH Ponsford (AUS),1924-1934,29,48,4,2122,266,48.22,7,6,1,AUS
RA McLean (SA),1951-1964,40,73,3,2120,142,30.28,5,10,11,SA
AL Wadekar (INDIA),1966-1974,37,71,3,2113,143,31.07,1,14,7,INDIA
MH Mankad (INDIA),1946-1959,44,72,5,2109,231,31.47,5,6,7,INDIA
JP Duminy (SA),2008-2017,46,74,10,2103,166,32.85,6,8,9,SA
JK Silva (SL),2011-2018,39,74,0,2099,139,28.36,3,12,6,SL
AN Petersen (SA),2010-2015,36,64,4,2093,182,34.88,5,8,3,SA
CPS Chauhan (INDIA),1969-1981,40,68,2,2084,97,31.57,0,16,6,INDIA
Imtiaz Ahmed (PAK),1952-1962,41,72,1,2079,209,29.28,3,11,9,PAK
MG Johnson (AUS),2007-2015,73,109,16,2065,123*,22.2,1,11,19,AUS
K Srikkanth (INDIA),1981-1992,43,72,3,2062,123,29.88,2,12,7,INDIA
RM Cowper (AUS),1964-1968,27,46,2,2061,307,46.84,5,10,3,AUS
PE Richardson (ENG),1956-1963,34,56,1,2061,126,37.47,5,9,1,ENG
ML Jaisimha (INDIA),1959-1971,39,71,4,2056,129,30.68,3,12,9,INDIA
LG Rowe (WI),1972-1980,30,49,2,2047,302,43.55,7,7,2,WI
JC Buttler (ENG),2014-2019,38,68,6,2046,106,33,1,15,5,ENG
SV Manjrekar (INDIA),1987-1996,37,61,6,2043,218,37.14,4,9,3,INDIA
BA Young (NZ),1993-1999,35,68,4,2034,267*,31.78,2,12,5,NZ
MJ Greatbatch (NZ),1988-1996,41,71,5,2021,146*,30.62,3,10,9,NZ
CJL Rogers (AUS),2008-2015,25,48,1,2015,173,42.87,5,14,1,AUS
KOA Powell (WI),2011-2018,40,76,1,2011,134,26.81,3,6,7,WI
AC Hudson (SA),1992-1998,35,63,3,2007,163,33.45,4,13,7,SA
KL Rahul (INDIA),2014-2019,36,60,2,2006,199,34.58,5,11,6,INDIA
DN Sardesai (INDIA),1961-1972,30,55,4,2001,212,39.23,5,9,4,INDIA
TW Hayward (ENG),1896-1909,35,60,2,1999,137,34.46,3,12,7,ENG
MA Noble (AUS),1898-1909,42,73,7,1997,133,30.25,1,16,4,AUS
DL Murray (WI),1963-1980,62,96,9,1993,91,22.9,0,11,7,WI
HH Streak (ZIM),1993-2005,65,107,18,1990,127*,22.35,1,11,15,ZIM
AD Gaekwad (INDIA),1974-1985,40,70,4,1985,201,30.07,2,10,4,INDIA
